userid;FIPS_daycount;N_of_FIPS_withMaxday;HomeLocList;homeLocDict;basic_maxdays
0;13.0;1.0;['IN'];{'IN': 14};IN
1;41.0;1.0;['NL'];{'NL': 51};NL
2;13.0;1.0;['AS'];{'AS': 14};AS
3;47.0;1.0;['US'];{'US': 56};US
4;14.0;1.0;['AS'];{'AS': 14};AS
5;43.0;1.0;['US'];{'US': 44};US
6;5.0;1.0;['US'];{'US': 6};US
7;127.0;1.0;['BR'];{'BR': 143};BR
8;26.0;1.0;['AE'];{'AE': 26};AE
9;169.0;1.0;['LA'];{'LA': 197};LA
10;139.0;1.0;['UK'];{'UK': 162};UK
11;125.0;1.0;['NI'];{'NI': 156};NI
12;59.0;1.0;['US'];{'US': 66};US
13;38.0;1.0;['SF'];{'SF': 40};SF
14;34.0;1.0;['SF'];{'SF': 36};SF
15;13.0;1.0;['SF'];{'SF': 15};SF
16;21.0;1.0;['SF'];{'SF': 24};SF
17;41.0;1.0;['SF'];{'SF': 45};SF
18;19.0;1.0;['SF'];{'SF': 20};SF
19;24.0;1.0;['SF'];{'SF': 29};SF
20;16.0;1.0;['SF'];{'SF': 16};SF
21;222.0;1.0;['SF'];{'SF': 297};SF
22;17.0;1.0;['SF'];{'SF': 17};SF
23;38.0;1.0;['SF'];{'SF': 42};SF
24;313.0;1.0;['US'];{'US': 418};US
25;27.0;1.0;['SF'];{'SF': 28};SF
26;61.0;1.0;['US'];{'US': 64};US
27;41.0;1.0;['SF'];{'SF': 46};SF
28;30.0;1.0;['US'];{'US': 30};US
29;15.0;1.0;['HK'];{'HK': 15};HK
30;23.0;1.0;['SF'];{'SF': 24};SF
31;173.0;1.0;['TU'];{'TU': 204};TU
32;27.0;1.0;['US'];{'US': 28};US
33;49.0;1.0;['SF'];{'SF': 50};SF
34;106.0;1.0;['SF'];{'SF': 120};SF
