;userid;post_cnt;FIPS_1;FIPS_1_photocount;FIPS_2;FIPS_2_photocount;basic_maxposts
0;0;35;IN;14;FR;4;IN
1;1;129;NL;51;SA;18;NL
2;2;23;AS;14;IT;3;AS
3;3;96;US;56;AS;21;US
4;4;15;AS;14;NZ;1;AS
5;5;51;US;44;AS;2;US
6;6;16;US;6;AU;2;US
7;7;150;BR;143;SF;3;BR
8;8;72;AE;26;US;18;AE
9;9;426;LA;197;TH;153;LA
10;10;227;UK;162;AL;17;UK
11;11;314;NI;156;IT;74;NI
12;12;82;US;66;FR;13;US
13;13;45;SF;40;IN;3;SF
14;14;44;SF;36;MY;5;SF
15;15;29;SF;15;US;7;SF
16;16;25;SF;24;MP;1;SF
17;17;45;SF;45;N/A;0;SF
18;18;20;SF;20;N/A;0;SF
19;19;29;SF;29;N/A;0;SF
20;20;18;SF;16;SP;2;SF
21;21;318;SF;297;AE;14;SF
22;22;19;SF;17;ZI;2;SF
23;23;42;SF;42;N/A;0;SF
24;24;418;US;418;N/A;0;US
25;25;47;SF;28;UK;10;SF
26;26;81;US;64;MX;10;US
27;27;93;SF;46;US;18;SF
28;28;47;US;30;GH;3;US
29;29;71;HK;15;SW;14;HK
30;30;61;SF;24;IS;10;SF
31;31;210;TU;204;GR;5;TU
32;32;38;US;28;SF;4;US
33;33;62;SF;50;SI;6;SF
34;34;120;SF;120;N/A;0;SF
