userid;AE;AS;AU;BE;BR;CA;CB;HK;IN;LA;MY;NI;NL;NZ;SF;TH;TU;UK;US;VM;WA;MAXdays;N_of_FIPS_withMaxday;HomeLocList;userid;homeLocDict;hierarchical_maxdays
0;;;;;;;;;13.0;;;;;;;;;;;;;13.0;1.0;['IN'];0;{'IN': 14};IN
1;;;;3.0;;;;;;;;;41.0;;;;;;;;;41.0;1.0;['NL'];1;{'NL': 51};NL
2;;13.0;;;;;;;;;;;;2.0;;;;;;;;13.0;1.0;['AS'];2;{'AS': 14};AS
3;;;;;;;;;;;;;;;;;;;47.0;;;47.0;1.0;['US'];3;{'US': 56};US
4;;14.0;;;;;;;;;;;;1.0;;;;;;;;14.0;1.0;['AS'];4;{'AS': 14};AS
5;;;;;;;;;;;;;;;;;;;43.0;;;43.0;1.0;['US'];5;{'US': 44};US
6;;;2.0;;;;;;;;;;;;;;;;;;;2.0;1.0;['AU'];6;{'AU': 2};AU
7;;;;;127.0;;;;;;;;;;;;;;;;;127.0;1.0;['BR'];7;{'BR': 143};BR
8;26.0;;;;;;;;;;;;;;;;;;;;;26.0;1.0;['AE'];8;{'AE': 26};AE
9;;;;;;;7.0;;;169.0;14.0;;;;;133.0;;;;16.0;;169.0;1.0;['LA'];9;{'LA': 197};LA
10;;;;;;;;;;;;;;;;;;139.0;;;;139.0;1.0;['UK'];10;{'UK': 162};UK
11;;;;;;;;;;;;125.0;;;;;;;;;;125.0;1.0;['NI'];11;{'NI': 156};NI
12;;;;;;;;;;;;;;;;;;;59.0;;;59.0;1.0;['US'];12;{'US': 66};US
13;;;;;;;;;;;;;;;38.0;;;;;;;38.0;1.0;['SF'];13;{'SF': 40};SF
14;;;;;;;;;;;;;;;34.0;;;;;;;34.0;1.0;['SF'];14;{'SF': 36};SF
15;;;;;;;;;;;;;;;13.0;;;;;;;13.0;1.0;['SF'];15;{'SF': 15};SF
16;;;;;;;;;;;;;;;21.0;;;;;;;21.0;1.0;['SF'];16;{'SF': 24};SF
17;;;;;;;;;;;;;;;41.0;;;;;;;41.0;1.0;['SF'];17;{'SF': 45};SF
18;;;;;;;;;;;;;;;19.0;;;;;;;19.0;1.0;['SF'];18;{'SF': 20};SF
19;;;;;;;;;;;;;;;24.0;;;;;;;24.0;1.0;['SF'];19;{'SF': 29};SF
20;;;;;;;;;;;;;;;16.0;;;;;;;16.0;1.0;['SF'];20;{'SF': 16};SF
21;;;;;;;;;;;;;;;222.0;;;;;;;222.0;1.0;['SF'];21;{'SF': 297};SF
22;;;;;;;;;;;;;;;17.0;;;;;;;17.0;1.0;['SF'];22;{'SF': 17};SF
23;;;;;;;;;;;;;;;38.0;;;;;;;38.0;1.0;['SF'];23;{'SF': 42};SF
24;;;;;;;;;;;;;;;;;;;313.0;;;313.0;1.0;['US'];24;{'US': 418};US
25;;;;;;;;;;;;;;;27.0;;;;;;6.0;27.0;1.0;['SF'];25;{'SF': 28};SF
26;;;;;;1.0;;;;;;;;;;;;;61.0;;;61.0;1.0;['US'];26;{'US': 64};US
27;;;;;;;;;;;;;;;41.0;;;;;;;41.0;1.0;['SF'];27;{'SF': 46};SF
28;;;;;;;;;;;;;;;;;;;30.0;;;30.0;1.0;['US'];28;{'US': 30};US
29;;;;;;;;15.0;;;;;;;;;;;;;;15.0;1.0;['HK'];29;{'HK': 15};HK
30;;;;;;;;;;;;;;;23.0;;;;;;;23.0;1.0;['SF'];30;{'SF': 24};SF
31;;;;;;;;;;;;;;;;;173.0;;;;;173.0;1.0;['TU'];31;{'TU': 204};TU
32;;;;;;;;;;;;;;;;;;;27.0;;;27.0;1.0;['US'];32;{'US': 28};US
33;;;;;;;;;;;;;;;49.0;;;;;;;49.0;1.0;['SF'];33;{'SF': 50};SF
34;;;;;;;;;;;;;;;106.0;;;;;;;106.0;1.0;['SF'];34;{'SF': 120};SF
