userid;AE;AS;BE;BR;CA;CB;HK;IN;LA;MY;NI;NL;NZ;SF;SP;TH;TU;UK;US;VM;WA;MAXweeks;N_of_FIPS_withMaxweek;HomeLocList;userid;homeLocDict;hierarchical_maxweeks
0;;;;;;;;10.0;;;;;;;;;;;;;;10.0;1.0;['IN'];0;{'IN': 14};IN
1;;;2.0;;;;;;;;;22.0;;;;;;;;;;22.0;1.0;['NL'];1;{'NL': 51};NL
2;;13.0;;;;;;;;;;;2.0;;;;;;;;;13.0;1.0;['AS'];2;{'AS': 14};AS
3;;;;;;;;;;;;;;;;;;;25.0;;;25.0;1.0;['US'];3;{'US': 56};US
4;;11.0;;;;;;;;;;;1.0;;;;;;;;;11.0;1.0;['AS'];4;{'AS': 14};AS
5;;;;;;;;;;;;;;;;;;;28.0;;;28.0;1.0;['US'];5;{'US': 44};US
6;;;;;;;;;;;;;;;2.0;;;;;;;2.0;1.0;['SP'];6;{'SP': 2};SP
7;;;;71.0;;;;;;;;;;;;;;;;;;71.0;1.0;['BR'];7;{'BR': 143};BR
8;22.0;;;;;;;;;;;;;;;;;;;;;22.0;1.0;['AE'];8;{'AE': 26};AE
9;;;;;;5.0;;;91.0;5.0;;;;;;81.0;;;;9.0;;91.0;1.0;['LA'];9;{'LA': 197};LA
10;;;;;;;;;;;;;;;;;;83.0;;;;83.0;1.0;['UK'];10;{'UK': 162};UK
11;;;;;;;;;;;71.0;;;;;;;;;;;71.0;1.0;['NI'];11;{'NI': 156};NI
12;;;;;;;;;;;;;;;;;;;43.0;;;43.0;1.0;['US'];12;{'US': 66};US
13;;;;;;;;;;;;;;26.0;;;;;;;;26.0;1.0;['SF'];13;{'SF': 40};SF
14;;;;;;;;;;;;;;27.0;;;;;;;;27.0;1.0;['SF'];14;{'SF': 36};SF
15;;;;;;;;;;;;;;12.0;;;;;;;;12.0;1.0;['SF'];15;{'SF': 15};SF
16;;;;;;;;;;;;;;15.0;;;;;;;;15.0;1.0;['SF'];16;{'SF': 24};SF
17;;;;;;;;;;;;;;23.0;;;;;;;;23.0;1.0;['SF'];17;{'SF': 45};SF
18;;;;;;;;;;;;;;12.0;;;;;;;;12.0;1.0;['SF'];18;{'SF': 20};SF
19;;;;;;;;;;;;;;19.0;;;;;;;;19.0;1.0;['SF'];19;{'SF': 29};SF
20;;;;;;;;;;;;;;13.0;;;;;;;;13.0;1.0;['SF'];20;{'SF': 16};SF
21;;;;;;;;;;;;;;91.0;;;;;;;;91.0;1.0;['SF'];21;{'SF': 297};SF
22;;;;;;;;;;;;;;14.0;;;;;;;;14.0;1.0;['SF'];22;{'SF': 17};SF
23;;;;;;;;;;;;;;27.0;;;;;;;;27.0;1.0;['SF'];23;{'SF': 42};SF
24;;;;;;;;;;;;;;;;;;;119.0;;;119.0;1.0;['US'];24;{'US': 418};US
25;;;;;;;;;;;;;;17.0;;;;;;;5.0;17.0;1.0;['SF'];25;{'SF': 28};SF
26;;;;;1.0;;;;;;;;;;;;;;47.0;;;47.0;1.0;['US'];26;{'US': 64};US
27;;;;;;;;;;;;;;24.0;;;;;;;;24.0;1.0;['SF'];27;{'SF': 46};SF
28;;;;;;;;;;;;;;;;;;;25.0;;;25.0;1.0;['US'];28;{'US': 30};US
29;;;;;;;11.0;;;;;;;;;;;;;;;11.0;1.0;['HK'];29;{'HK': 15};HK
30;;;;;;;;;;;;;;17.0;;;;;;;;17.0;1.0;['SF'];30;{'SF': 24};SF
31;;;;;;;;;;;;;;;;;92.0;;;;;92.0;1.0;['TU'];31;{'TU': 204};TU
32;;;;;;;;;;;;;;;;;;;26.0;;;26.0;1.0;['US'];32;{'US': 28};US
33;;;;;;;;;;;;;;41.0;;;;;;;;41.0;1.0;['SF'];33;{'SF': 50};SF
34;;;;;;;;;;;;;;65.0;;;;;;;;65.0;1.0;['SF'];34;{'SF': 120};SF
