userid;B_CircleCentroids;B_dbscan_500_km;B_EllipseCentroids;B_maxdays;B_maxmonths;B_maxposts;B_maxtimedelta;B_maxweeks;B_MeanCenters;B_MedianCenters;H_CircleCentroids;H_dbscan_500km;H_EllipseCentroids;H_maxdays;H_maxmonths;H_maxposts;H_maxtimedelta;H_maxweeks;H_MeanCenters;H_MedianCenters
0;SA;IN;SA;IN;IN;IN;IN;IN;SA;MU;IN;IN;IN;IN;IN;IN;IN;IN;IN;IN
1;SA;NL;SA;NL;NL;NL;NL;NL;SA;IZ;CE;NL;CE;NL;KU;NL;KU;NL;CE;SA
2;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS
3;LI;US;LI;US;AS;US;AS;US;LI;US;MZ;US;MZ;US;AS;US;AS;US;MZ;US
4;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS
5;US;US;US;US;US;US;US;US;US;US;US;US;US;US;US;US;US;US;US;US
6;PO;US;PO;US;US;US;US;US;PO;SP;;US;;AU;UK;SP;UK;SP;FR;FR
7;BR;BR;BR;BR;BR;BR;BR;BR;BR;BR;BR;BR;BR;BR;BR;BR;BR;BR;BR;BR
8;TU;AE;TU;AE;AE;AE;AE;AE;TU;IR;IR;AE;IR;AE;AE;AE;AE;AE;IR;AE
9;TH;TH;TH;LA;LA;LA;LA;LA;TH;LA;TH;TH;TH;LA;LA;LA;LA;LA;TH;LA
10;FR;UK;FR;UK;UK;UK;UK;UK;FR;UK;;UK;;UK;UK;UK;UK;UK;;UK
11;AG;NI;AG;NI;NI;NI;RS;NI;AG;NI;NI;NI;NI;NI;NI;NI;RS;NI;NI;NI
12;US;US;US;US;US;US;FR;US;US;US;US;US;US;US;US;US;FR;US;US;US
13;ZI;SF;ZI;SF;SF;SF;SF;SF;ZI;SF;LT;SF;LT;SF;SF;SF;SF;SF;LT;SF
14;MZ;SF;MZ;SF;SF;SF;SF;SF;MZ;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF
15;IV;SF;IV;SF;SF;SF;SF;SF;IV;BC;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF
16;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF
17;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF
18;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF
19;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF
20;WA;SF;WA;SF;SF;SF;SF;SF;WA;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF
21;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF
22;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF
23;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF
24;US;US;US;US;US;US;US;US;US;US;US;US;US;US;US;US;US;US;US;US
25;AO;SF;AO;SF;SF;SF;SF;SF;AO;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF
26;US;US;US;US;US;US;US;US;US;US;US;US;US;US;US;US;US;US;US;US
27;IV;SF;IV;SF;SF;SF;SF;SF;IV;WA;SF;SF;SF;SF;SF;SF;US;SF;SF;SF
28;CA;US;CA;US;US;US;US;US;CA;US;US;US;US;US;US;US;US;US;US;US
29;CH;HK;CH;HK;HK;HK;HK;HK;CH;CH;HK;HK;HK;HK;HK;HK;SW;HK;HK;HK
30;SU;SF;SU;SF;SF;SF;SF;SF;SU;EG;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF
31;TU;TU;TU;TU;TU;TU;TU;TU;TU;TU;TU;TU;TU;TU;TU;TU;TU;TU;TU;TU
32;BD;US;BD;US;US;US;US;US;BD;US;US;US;US;US;US;US;US;US;US;US
33;WA;SF;WA;SF;SF;SF;SF;SF;WA;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF
34;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF;SF
